Parameter,WinNonlin,ncar
CMAX,7.56 mg/L,7.5600 mg/L
CMAXD,0.023625 mg/L/mg,0.0236 mg/L/mg
TMAX,2.02 h,2.0200 h
TLAG,0 h,0.0000 h
CLST,1.25 mg/L,1.2500 mg/L
TLST,24.12 h,24.1200 h
LAMZHL,8.510037883 h,8.5100 h
LAMZ,0.08145054 /h,0.0815 /h
LAMZLL,3.53 h,3.5300 h
LAMZUL,24.12 h,24.1200 h
LAMZNPT,6,6
CORRXY,-0.995496053,-0.9955
R2,0.991012391,0.991
R2ADJ,0.988765489,0.9888
AUCLST,88.55995 h*mg/L,88.5600 h*mg/L
AUCALL,88.55995 h*mg/L,88.5600 h*mg/L
AUCIFO,103.906687 h*mg/L,103.9067 h*mg/L
AUCIFOD,0.324708 h*mg/L/mg,0.3247 h*mg/L/mg
AUCIFP,103.643051 h*mg/L,103.6431 h*mg/L
AUCIFP,0.323884 h*mg/L/mg,0.3239 h*mg/L/mg
AUCPEO,14.77%,14.77%
AUCPEP,14.55%,14.55%
AUMCLST,739.534598 h2*mg/L,739.5346 h2*mg/L
AUMCIFO,1298.115755 h2*mg/L,1298.1158 h2*mg/L
AUMCIFP,1288.520116 h2*mg/L,1288.5201 h2*mg/L
AUMCPEO,43.03%,43.03%
AUMCPEP,42.61%,42.61%
VZFO,37.81050811 L,37.8105 L
VZFP,37.90668616 L,37.9067 L
CLFO,3.079686301 L/h,3.0797 L/h
CLFP,3.087520055 L/h,3.0875 L/h
MRTEVLST,8.35066639 h,8.3507 h
MRTEVIFO,12.49309159 h,12.4931 h
MRTEVIFP,12.43228656 h,12.4323 h
